"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"RS_MN006","2564","20131226","2.1","9","1"
"RS_MN006","2564","20131227","5","9","1"
"RS_MN006","2564","20131228","0.2","9","1"
"RS_MN006","2564","20131229","5.5","9","1"
"RS_MN006","2564","20131230","0.1","9","1"
"RS_MN006","2564","20131231","0","9","1"
"RS_MN006","2564","20140101","0.6","9","1"
"RS_MN006","2564","20140102","1","9","1"
"RS_MN006","2564","20140103","2.7","9","1"
"RS_MN006","2564","20140104","0","9","1"
"RS_MN006","2564","20140105","0.7","9","1"
"RS_MN006","2564","20140106","10.4","9","1"
"RS_MN006","2564","20140107","0.8","9","1"
"RS_MN006","2564","20140108","2.4","9","1"
"RS_MN006","2564","20140109","9.9","9","1"
"RS_MN006","2564","20140110","3.5","9","1"
"RS_MN006","2564","20140111","5.3","9","1"
"RS_MN006","2564","20140112","0","9","1"
"RS_MN006","2564","20140113","1.7","9","1"
"RS_MN006","2564","20140114","0","9","1"
"RS_MN006","2564","20140115","3","9","1"
"RS_MN006","2564","20140116","10","9","1"
"RS_MN006","2564","20140117","1.9","9","1"
"RS_MN006","2564","20140118","0.2","9","1"
"RS_MN006","2564","20140119","0","9","1"
"RS_MN006","2564","20140120","0.2","9","1"
"RS_MN006","2564","20140121","1.8","9","1"
"RS_MN006","2564","20140122","0","9","1"
"RS_MN006","2564","20140123","0","9","1"
"RS_MN006","2564","20140124","0","9","1"
"RS_MN006","2564","20140125","0","9","1"
"RS_MN006","2564","20140126","1.1","9","1"
"RS_MN006","2564","20140127","0.4","9","1"
"RS_MN006","2564","20140128","0","9","1"
"RS_MN006","2564","20140129","0.7","9","1"
"RS_MN006","2564","20140130","0.7","9","1"
"RS_MN006","2564","20140131","0","9","1"
"RS_MN006","2564","20140201","1.4","9","1"
"RS_MN006","2564","20140202","0","9","1"
"RS_MN006","2564","20140203","0","9","1"
"RS_MN006","2564","20140204","0","9","1"
"RS_MN006","2564","20140205","0.1","9","1"
"RS_MN006","2564","20140206","2.5","9","1"
"RS_MN006","2564","20140207","7.2","9","1"
"RS_MN006","2564","20140208","1.1","9","1"
"RS_MN006","2564","20140209","8","9","1"
"RS_MN006","2564","20140210","0.1","9","1"
"RS_MN006","2564","20140211","0.3","9","1"
"RS_MN006","2564","20140212","2.2","9","1"
"RS_MN006","2564","20140213","4.4","9","1"
"RS_MN006","2564","20140214","0.7","9","1"
"RS_MN006","2564","20140215","4.3","9","1"
"RS_MN006","2564","20140216","7.9","9","1"
"RS_MN006","2564","20140217","0","9","1"
"RS_MN006","2564","20140218","0.1","9","1"
"RS_MN006","2564","20140219","1.6","9","1"
"RS_MN006","2564","20140220","4.7","9","1"
"RS_MN006","2564","20140221","1.5","9","1"
"RS_MN006","2564","20140222","0.3","9","1"
"RS_MN006","2564","20140223","0","9","1"
"RS_MN006","2564","20140224","0","9","1"
"RS_MN006","2564","20140225","0","9","1"
"RS_MN006","2564","20140226","0","9","1"
"RS_MN006","2564","20140227","0","9","1"
"RS_MN006","2564","20140228","0","9","1"
"RS_MN006","2564","20140301","0.1","9","1"
"RS_MN006","2564","20140302","0","9","1"
"RS_MN006","2564","20140303","0","9","1"
"RS_MN006","2564","20140304","0.1","9","1"
"RS_MN006","2564","20140305","0","9","1"
"RS_MN006","2564","20140306","0","9","1"
"RS_MN006","2564","20140307","0.1","9","1"
"RS_MN006","2564","20140308","0","9","1"
"RS_MN006","2564","20140309","0","9","1"
"RS_MN006","2564","20140310","0","9","1"
"RS_MN006","2564","20140311","0","9","1"
"RS_MN006","2564","20140312","0","9","1"
"RS_MN006","2564","20140313","0","9","1"
"RS_MN006","2564","20140314","5.1","9","1"
"RS_MN006","2564","20140315","1.7","9","1"
"RS_MN006","2564","20140316","0.8","9","1"
"RS_MN006","2564","20140317","0","9","1"
"RS_MN006","2564","20140318","1.9","9","1"
"RS_MN006","2564","20140319","0.2","9","1"
"RS_MN006","2564","20140320","0.8","9","1"
"RS_MN006","2564","20140321","10.4","9","1"
"RS_MN006","2564","20140322","2.5","9","1"
"RS_MN006","2564","20140323","0","9","1"
"RS_MN006","2564","20140324","0","9","1"
"RS_MN006","2564","20140325","2.4","9","1"
"RS_MN006","2564","20140326","0.2","9","1"
"RS_MN006","2564","20140327","0","9","1"
"RS_MN006","2564","20140328","0","9","1"
"RS_MN006","2564","20140329","0","9","1"
"RS_MN006","2564","20140330","0","9","1"
"RS_MN006","2564","20140331","0","9","1"
"RS_MN006","2564","20140401","0","9","1"
"RS_MN006","2564","20140402","0","9","1"
"RS_MN006","2564","20140403","0","9","1"
"RS_MN006","2564","20140404","25.7","9","1"
"RS_MN006","2564","20140405","1.2","9","1"
"RS_MN006","2564","20140406","11.6","9","1"
"RS_MN006","2564","20140407","0.4","9","1"
"RS_MN006","2564","20140408","10.4","9","1"
"RS_MN006","2564","20140409","0","9","1"
"RS_MN006","2564","20140410","0","9","1"
"RS_MN006","2564","20140411","0","9","1"
