"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"SDK_MN004","2564","20140313","10.7","3","0"
"SDK_MN004","2564","20140314","8.5","3","0"
"SDK_MN004","2564","20140315","6.2","3","0"
"SDK_MN004","2564","20140316","0","3","0"
"SDK_MN004","2564","20140317","0","3","0"
"SDK_MN004","2564","20140318","0.9","3","0"
"SDK_MN004","2564","20140319","0.3","3","0"
"SDK_MN004","2564","20140320","10.4","3","0"
"SDK_MN004","2564","20140321","0","3","0"
"SDK_MN004","2564","20140322","4.5","3","0"
"SDK_MN004","2564","20140323","7.2","3","0"
"SDK_MN004","2564","20140324","6","3","0"
"SDK_MN004","2564","20140325","10.6","3","0"
"SDK_MN004","2564","20140326","4.5","3","0"
"SDK_MN004","2564","20140327","4.3","3","0"
"SDK_MN004","2564","20140328","0.1","3","0"
"SDK_MN004","2564","20140329","6","3","0"
"SDK_MN004","2564","20140330","7.8","3","0"
"SDK_MN004","2564","20140331","0.3","3","0"
"SDK_MN004","2564","20140401","0","3","0"
"SDK_MN004","2564","20140402","5.5","3","0"
"SDK_MN004","2564","20140403","6.4","3","0"
"SDK_MN004","2564","20140404","1","3","0"
"SDK_MN004","2564","20140405","0","3","0"
"SDK_MN004","2564","20140406","0","3","0"
"SDK_MN004","2564","20140407","2.4","3","0"
"SDK_MN004","2564","20140408","0.7","3","0"
"SDK_MN004","2564","20140409","2.6","3","0"
"SDK_MN004","2564","20140410","0.4","3","0"
"SDK_MN004","2564","20140411","4.4","3","0"
"SDK_MN004","2564","20140412","5","3","0"
"SDK_MN004","2564","20140413","6.6","3","0"
"SDK_MN004","2564","20140414","6.2","3","0"
"SDK_MN004","2564","20140415","13.5","3","0"
"SDK_MN004","2564","20140416","13.2","3","0"
"SDK_MN004","2564","20140417","6.5","3","0"
"SDK_MN004","2564","20140418","0.3","3","0"
"SDK_MN004","2564","20140419","10.5","3","0"
"SDK_MN004","2564","20140420","13.2","3","0"
"SDK_MN004","2564","20140421","5.7","3","0"
"SDK_MN004","2564","20140422","6.5","3","0"
"SDK_MN004","2564","20140423","0.1","3","0"
"SDK_MN004","2564","20140424","0","3","0"
"SDK_MN004","2564","20140425","13.5","3","0"
"SDK_MN004","2564","20140426","13.7","3","0"
"SDK_MN004","2564","20140427","13.5","3","0"
"SDK_MN004","2564","20140428","14.1","3","0"
"SDK_MN004","2564","20140429","13.6","3","0"
"SDK_MN004","2564","20140430","9.3","3","0"
"SDK_MN004","2564","20140501","10.3","3","0"
"SDK_MN004","2564","20140502","7.5","3","0"
"SDK_MN004","2564","20140503","10","3","0"
"SDK_MN004","2564","20140504","0.7","3","0"
"SDK_MN004","2564","20140505","0","3","0"
"SDK_MN004","2564","20140506","1.7","3","0"
"SDK_MN004","2564","20140507","4.2","3","0"
"SDK_MN004","2564","20140508","1","3","0"
"SDK_MN004","2564","20140509","1.4","3","0"
"SDK_MN004","2564","20140510","0.5","3","0"
"SDK_MN004","2564","20140511","1.5","3","0"
"SDK_MN004","2564","20140512","2","3","0"
"SDK_MN004","2564","20140513","4.5","3","0"
"SDK_MN004","2564","20140514","3.1","3","0"
"SDK_MN004","2564","20140515","7.9","3","0"
"SDK_MN004","2564","20140516","10.1","3","0"
"SDK_MN004","2564","20140517","11.6","3","0"
"SDK_MN004","2564","20140518","6.9","3","0"
"SDK_MN004","2564","20140519","3.2","3","0"
"SDK_MN004","2564","20140520","15.1","3","0"
"SDK_MN004","2564","20140521","10.1","3","0"
"SDK_MN004","2564","20140522","13.2","3","0"
"SDK_MN004","2564","20140523","3","3","0"
"SDK_MN004","2564","20140524","13.4","3","0"
"SDK_MN004","2564","20140525","9.7","3","0"
"SDK_MN004","2564","20140526","15.3","3","0"
"SDK_MN004","2564","20140527","4.3","3","0"
"SDK_MN004","2564","20140528","0.7","3","0"
"SDK_MN004","2564","20140529","10.6","3","0"
"SDK_MN004","2564","20140530","15.5","3","0"
"SDK_MN004","2564","20140531","9.7","3","0"
"SDK_MN004","2564","20140601","1.4","3","0"
"SDK_MN004","2564","20140602","15.3","3","0"
"SDK_MN004","2564","20140603","11.3","3","0"
"SDK_MN004","2564","20140604","12.2","3","0"
"SDK_MN004","2564","20140605","4.8","3","0"
"SDK_MN004","2564","20140606","13.2","3","0"
"SDK_MN004","2564","20140607","12.7","3","0"
"SDK_MN004","2564","20140608","5.2","3","0"
"SDK_MN004","2564","20140609","10.8","3","0"
"SDK_MN004","2564","20140610","10.3","3","0"
"SDK_MN004","2564","20140611","6.5","3","0"
"SDK_MN004","2564","20140612","10","3","0"
"SDK_MN004","2564","20140613","3.2","3","0"
"SDK_MN004","2564","20140614","11","3","0"
"SDK_MN004","2564","20140615","16.1","3","0"
"SDK_MN004","2564","20140616","5.1","3","0"
"SDK_MN004","2564","20140617","13.2","3","0"
"SDK_MN004","2564","20140618","6.3","3","0"
"SDK_MN004","2564","20140619","1.1","3","0"
"SDK_MN004","2564","20140620","6.1","3","0"
"SDK_MN004","2564","20140621","3.8","3","0"
"SDK_MN004","2564","20140622","9.3","3","0"
"SDK_MN004","2564","20140623","7.5","3","0"
"SDK_MN004","2564","20140624","0.4","3","0"
"SDK_MN004","2564","20140625","14.6","3","0"
"SDK_MN004","2564","20140626","8.9","3","0"
"SDK_MN004","2564","20140627","4.3","3","0"
"SDK_MN004","2564","20140628","2.9","3","0"
"SDK_MN004","2564","20140629","4.8","3","0"
"SDK_MN004","2564","20140630","10.1","3","0"
"SDK_MN004","2564","20140701","6.6","3","0"
"SDK_MN004","2564","20140702","6.8","3","0"
"SDK_MN004","2564","20140703","3.6","3","0"
"SDK_MN004","2564","20140704","15","3","0"
